asset_id,original_filename,logical_path,domain,section,is_project_file,project_id,project_category_original,display_title,short_title,document_role,current_category,current_subcategory,cleaned_domain,cleaned_category,cleaned_subcategory,page_id,extraction_status,indexed_in_search,duplicate_status,duplicate_type,confidence_score,review_status,metadata_score,metadata_grade,rename_needed,unknown_type,needs_redigitalization
asset_3a949126109db954,.DS_Store,ORDERS & RELATED INFORMATION/.DS_Store,orders_procurement,orders_archive,False,,,System File — ,System File — ,system_artifact,Orders Archive,.DS_Store,Lab Knowledge,Orders Archive,.DS_Store,orders.archive,skipped,False,unique,not_duplicate,0.86,needs_human_review,92,excellent,True,True,False
asset_f857cb26a1b8b5fb,.DS_Store,ORDERS & RELATED INFORMATION/Billing and ordering instructions/.DS_Store,orders_procurement,orders_billing,False,,,System File — ,System File — ,system_artifact,Orders Billing,Billing and ordering instructions,Lab Knowledge,Orders Billing,Billing and ordering instructions,orders.billing,skipped,False,unique,not_duplicate,0.87,needs_human_review,92,excellent,True,True,False
asset_47513d5518ccc5dc,.DS_Store,Overview/PERSONNEL/.DS_Store,administration,overview_personnel,False,,,,,system_artifact,Overview Personnel,PERSONNEL,Lab Knowledge,Overview Personnel,PERSONNEL,overview.personnel,skipped,False,unique,not_duplicate,0.86,needs_human_review,80,good,False,True,False
asset_6b676e64bc2a59e1,.DS_Store,Overview/PERSONNEL/Hiring/.DS_Store,administration,overview_personnel,False,,,,,system_artifact,Overview Personnel,PERSONNEL,Lab Knowledge,Overview Personnel,PERSONNEL,overview.personnel,skipped,False,unique,not_duplicate,0.86,needs_human_review,80,good,False,True,False
asset_c36650cfe4247b3f,.DS_Store,projects/3_FA-20260602T171547Z-3-001/3_FA/3. Data & figures/Figures & visualization/Plots_paper/.DS_Store,project,,True,3_FA-20260602T171547Z-3-001,3_FA,FA 20260602t171547z 3 001 — 3_FA — System File,FA 20260602t171547z 3 001 — 3_FA — System File,system_artifact,3_FA,3. Data & figures,,,,projects.portfolio,skipped,False,unique,not_duplicate,0.83,needs_human_review,92,excellent,True,True,False
asset_019d85d4896ddaa0,.Rhistory,projects/3_FA-20260602T171547Z-3-001/3_FA/3. Data & figures/Figures & visualization/Plots_paper/.Rhistory,project,,True,3_FA-20260602T171547Z-3-001,3_FA,FA 20260602t171547z 3 001 — 3_FA — Document,FA 20260602t171547z 3 001 — 3_FA — Document,unknown,3_FA,3. Data & figures,,,,projects.portfolio,skipped,False,duplicate,system_artifact,0.65,needs_human_review,82,good,True,True,False
asset_915cf0cf16ffc756,.DS_Store,projects/3_FA-20260602T171547Z-3-001/3_FA/3. Data & figures/Figures & visualization/Plots_paper/Composition/.DS_Store,project,,True,3_FA-20260602T171547Z-3-001,3_FA,FA 20260602t171547z 3 001 — 3_FA — System File,FA 20260602t171547z 3 001 — 3_FA — System File,system_artifact,3_FA,3. Data & figures,,,,projects.portfolio,skipped,False,unique,not_duplicate,0.83,needs_human_review,92,excellent,True,True,False
asset_9ef6732bf6200f04,.DS_Store,projects/3_FA-20260602T171547Z-3-001/3_FA/3. Data & figures/Figures & visualization/Plots_paper/Composition/Phenotype_proportions_UMAPs/.DS_Store,project,,True,3_FA-20260602T171547Z-3-001,3_FA,FA 20260602t171547z 3 001 — 3_FA — System File,FA 20260602t171547z 3 001 — 3_FA — System File,system_artifact,3_FA,3. Data & figures,,,,projects.portfolio,skipped,False,unique,not_duplicate,0.83,needs_human_review,92,excellent,True,True,False
asset_048721fa0ff73598,.DS_Store,projects/3_FA-20260602T171547Z-3-001/3_FA/3. Data & figures/Figures & visualization/Plots_paper/Composition/Phenotype_proportions_UMAPs/New/.DS_Store,project,,True,3_FA-20260602T171547Z-3-001,3_FA,FA 20260602t171547z 3 001 — 3_FA — System File,FA 20260602t171547z 3 001 — 3_FA — System File,system_artifact,3_FA,3. Data & figures,,,,projects.portfolio,skipped,False,unique,not_duplicate,0.83,needs_human_review,92,excellent,True,True,False
asset_39152360a1fdbf81,.DS_Store,projects/3_FA-20260602T171547Z-3-001/3_FA/3. Data & figures/Figures & visualization/Plots_paper/Composition/Phenotype_proportions_barplots/.DS_Store,project,,True,3_FA-20260602T171547Z-3-001,3_FA,FA 20260602t171547z 3 001 — 3_FA — System File,FA 20260602t171547z 3 001 — 3_FA — System File,system_artifact,3_FA,3. Data & figures,,,,projects.portfolio,skipped,False,unique,not_duplicate,0.83,needs_human_review,92,excellent,True,True,False
