asset_id,original_filename,display_title,short_title,search_aliases,confidence,rename_needed
asset_3a949126109db954,.DS_Store,System File — ,System File — ,.DS_Store|other,0.86,True
asset_c3ff5fa9c77c2fd9,Anni_Virtanen_HUS_LAB_account_2019_purchases.xlsx,Order Form — Anni Virtanen HUS LAB Account 2019 Purchases,Order Form — Anni Virtanen HUS LAB Account 20…,Anni_Virtanen_HUS_LAB_account_2019_purchases.xlsx|Anni_Virtanen_HUS_LAB_account_2019_purchases|Anni Virtanen HUS LAB Account 2019 Purchases|spreadsheet,0.95,True
asset_31f94b373dfd76e3,Catalog export from quartzy.xlsx,Order Form — Catalog Export From Quartzy,Order Form — Catalog Export From Quartzy,Catalog export from quartzy.xlsx|Catalog export from quartzy|Catalog Export From Quartzy|spreadsheet,0.95,True
asset_14b647b9a135c577,Bill Anniinas computer 2 6 2020.pdf,Order Form — Bill Anniinas Computer 2 6 2020,Order Form — Bill Anniinas Computer 2 6 2020,Bill Anniinas computer 2 6 2020.pdf|Bill Anniinas computer 2 6 2020|Bill Anniinas Computer 2 6 2020,0.8,True
asset_283b85c3b1b2122c,Tietokonetilaus for Anniina 31 3 2020.rtf,Order Form — Tietokonetilaus for Anniina 31 3 2020,Order Form — Tietokonetilaus for Anniina 31 3…,Tietokonetilaus for Anniina 31 3 2020.rtf|Tietokonetilaus for Anniina 31 3 2020,0.8,True
asset_8ac175e67fa49983,Credit card purchase invoicing information.docx,Order Form — Credit Card Purchase Invoicing Information,Order Form — Credit Card Purchase Invoicing I…,Credit card purchase invoicing information.docx|Credit card purchase invoicing information|Credit Card Purchase Invoicing Information,0.8,True
asset_fc64b178b984d75f,FICAN_SOUTH_Färkkilä_lab.xlsx,Order Form — FICAN SOUTH Färkkilä Lab,Order Form — FICAN SOUTH Färkkilä Lab,FICAN_SOUTH_Färkkilä_lab.xlsx|FICAN_SOUTH_Färkkilä_lab|FICAN SOUTH Färkkilä Lab|spreadsheet,0.95,True
asset_22625f0fa423c9d5,FiCAN_South_money_from_2019_AF_lab_debt_to_AV_lab.xlsx,Order Form — Fi CAN South Money From 2019 AF Lab Debt to AV Lab,Order Form — Fi CAN South Money From 2019 AF …,FiCAN_South_money_from_2019_AF_lab_debt_to_AV_lab.xlsx|FiCAN_South_money_from_2019_AF_lab_debt_to_AV_lab|Fi CAN South Money From 2019 AF Lab Debt to AV Lab|spreadsheet,0.95,True
asset_a323d0479be46fd4,Gas ordering instructions at the Faculty of Medicine.pdf,Order Form — Gas Ordering Instructions At the Faculty of Medicine,Order Form — Gas Ordering Instructions At the…,Gas ordering instructions at the Faculty of Medicine.pdf|Gas ordering instructions at the Faculty of Medicine|Gas Ordering Instructions At the Faculty of Medicine,0.8,True
asset_0b66ca85d429c5de,Kaasuntilausohje Lääketieteellisessä tiedekunnassa.pdf,Order Form — Kaasuntilausohje Lääketieteellisessä Tiedekunnassa,Order Form — Kaasuntilausohje Lääketieteell…,Kaasuntilausohje Lääketieteellisessä tiedekunnassa.pdf|Kaasuntilausohje Lääketieteellisessä tiedekunnassa|Kaasuntilausohje Lääketieteellisessä Tiedekunnassa,0.8,True
asset_92fd7a8cac1eccbf,Woikoski_liite_3_hintaliite_laak_erik_teol.pdf,Order Form — Woikoski Liite 3 Hintaliite Laak Erik Teol,Order Form — Woikoski Liite 3 Hintaliite Laak…,Woikoski_liite_3_hintaliite_laak_erik_teol.pdf|Woikoski_liite_3_hintaliite_laak_erik_teol|Woikoski Liite 3 Hintaliite Laak Erik Teol,0.8,True
asset_f236b04bfa9cd0b0,Infektiosäkki(1).docx,Order Form — Infektiosäkki(1),Order Form — Infektiosäkki(1),Infektiosäkki(1).docx|Infektiosäkki(1),0.8,True
asset_bbe3ea7c33954de6,Infektiosäkki.docx,Order Form — Infektiosäkki,Order Form — Infektiosäkki,Infektiosäkki.docx|Infektiosäkki,0.8,True
asset_98c9dd3a66653219,Lab coats Färkkila lab asiakasnumero.docx,Order Form — Lab Coats Färkkila Lab Asiakasnumero,Order Form — Lab Coats Färkkila Lab Asiakasn…,Lab coats Färkkila lab asiakasnumero.docx|Lab coats Färkkila lab asiakasnumero|Lab Coats Färkkila Lab Asiakasnumero,0.8,True
asset_59382ba7cca709c0,Työvaatekoonti LAB COATS Lindström Sept2019.xlsx,Order Form — Työvaatekoonti LAB COATS Lindström Sept2019,Order Form — Työvaatekoonti LAB COATS Lindst…,Työvaatekoonti LAB COATS Lindström Sept2019.xlsx|Työvaatekoonti LAB COATS Lindström Sept2019|spreadsheet,0.95,True
asset_a8de3d88de3e348f,BioNordika QuoteTA2022-0505-KL HY Anastasiya Chernenko (Färkkilä & Vähärautio labs).pdf,Order Form — Bio Nordika Quote TA2022 0505 KL HY Anastasiya Chernenko (färkkilä & Vähärautio Labs),Order Form — Bio Nordika Quote TA2022 0505 KL…,BioNordika QuoteTA2022-0505-KL HY Anastasiya Chernenko (Färkkilä & Vähärautio labs).pdf|BioNordika QuoteTA2022-0505-KL HY Anastasiya Chernenko (Färkkilä & Vähärautio labs)|Bio Nordika Quote TA2022 0505 KL HY Anastasiya Chernenko (färkkilä & Vähärautio Labs),0.8,True
asset_67eac9eb48a1e19f,Fisher 2019 Eppendorf centrifuges offer.pdf,Order Form — Fisher 2019 Eppendorf Centrifuges Offer,Order Form — Fisher 2019 Eppendorf Centrifuge…,Fisher 2019 Eppendorf centrifuges offer.pdf|Fisher 2019 Eppendorf centrifuges offer|Fisher 2019 Eppendorf Centrifuges Offer,0.8,True
asset_9071f30d419449ec,Fisher offer Thermomixer Eppendorf Sept 2019.pdf,Order Form — Fisher Offer Thermomixer Eppendorf Sept 2019,Order Form — Fisher Offer Thermomixer Eppendo…,Fisher offer Thermomixer Eppendorf Sept 2019.pdf|Fisher offer Thermomixer Eppendorf Sept 2019|Fisher Offer Thermomixer Eppendorf Sept 2019,0.8,True
asset_27de40b2a329bd0c,FotoprofiiliOffer_AF_lab_Helsingin Yliopisto_06.04.22.pdf,Order Form — Fotoprofiili Offer AF Lab Helsingin Yliopisto 06 04 22,Order Form — Fotoprofiili Offer AF Lab Helsin…,FotoprofiiliOffer_AF_lab_Helsingin Yliopisto_06.04.22.pdf|FotoprofiiliOffer_AF_lab_Helsingin Yliopisto_06.04.22|Fotoprofiili Offer AF Lab Helsingin Yliopisto 06 04 22,0.8,True
asset_e68267aef195c185,Labnet 2019 Eppendorf and Sigma centrifuge offer.docx,Order Form — Labnet 2019 Eppendorf and Sigma Centrifuge Offer,Order Form — Labnet 2019 Eppendorf and Sigma …,Labnet 2019 Eppendorf and Sigma centrifuge offer.docx|Labnet 2019 Eppendorf and Sigma centrifuge offer|Labnet 2019 Eppendorf and Sigma Centrifuge Offer,0.8,True
asset_baa8e34d09eeef2d,QIAGEN quote Chernenko 011019.pdf,Order Form — QIAGEN Quote Chernenko 011019,Order Form — QIAGEN Quote Chernenko 011019,QIAGEN quote Chernenko 011019.pdf|QIAGEN quote Chernenko 011019|QIAGEN Quote Chernenko 011019,0.8,True
asset_627df3c4a4895192, Quote BioNordikaTA2021-0431HL HY Anastasiya Chernenko (Färkkilä & Vähärautio labs).pdf,Order Form — Quote Bio Nordika TA2021 0431HL HY Anastasiya Chernenko (färkkilä & Vähärautio Labs),Order Form — Quote Bio Nordika TA2021 0431HL …, Quote BioNordikaTA2021-0431HL HY Anastasiya Chernenko (Färkkilä & Vähärautio labs).pdf| Quote BioNordikaTA2021-0431HL HY Anastasiya Chernenko (Färkkilä & Vähärautio labs)|Quote Bio Nordika TA2021 0431HL HY Anastasiya Chernenko (färkkilä & Vähärautio Labs),0.8,True
asset_db0c9a1f77260a91,BioNordika Quote TA2020-0288-JN HY Anastasiya Chernenko (Färkkilä & Vähärautio labs).pdf,Order Form — Bio Nordika Quote TA2020 0288 JN HY Anastasiya Chernenko (färkkilä & Vähärautio Labs),Order Form — Bio Nordika Quote TA2020 0288 JN…,BioNordika Quote TA2020-0288-JN HY Anastasiya Chernenko (Färkkilä & Vähärautio labs).pdf|BioNordika Quote TA2020-0288-JN HY Anastasiya Chernenko (Färkkilä & Vähärautio labs)|Bio Nordika Quote TA2020 0288 JN HY Anastasiya Chernenko (färkkilä & Vähärautio Labs),0.8,True
asset_5952075fce0a5312,QUOTES.docx,Order Form — QUOTES,Order Form — QUOTES,QUOTES.docx|QUOTES,0.8,True
asset_4e99b1d740e91ee7,QUOTES Product areas and groups 2022_QIAGEN.pdf,Order Form — QUOTES Product Areas and Groups 2022 QIAGEN,Order Form — QUOTES Product Areas and Groups …,QUOTES Product areas and groups 2022_QIAGEN.pdf|QUOTES Product areas and groups 2022_QIAGEN|QUOTES Product Areas and Groups 2022 QIAGEN,0.8,True
asset_ed83b62a42f9deac,ONCOSYS COMMON EQUIPMENT 2019_UUD_VAHVISTUS_1060102408_20190627032435.pdf,Order Form — Oncosys COMMON Equipment 2019 UUD Vahvistus 1060102408 20190627032435,Order Form — Oncosys COMMON Equipment 2019 UU…,ONCOSYS COMMON EQUIPMENT 2019_UUD_VAHVISTUS_1060102408_20190627032435.pdf|ONCOSYS COMMON EQUIPMENT 2019_UUD_VAHVISTUS_1060102408_20190627032435|Oncosys COMMON Equipment 2019 UUD Vahvistus 1060102408 20190627032435,0.8,True
asset_7d7b3f577d05b2ac,ORDERS 2019 Färkkilä lab.xlsx,Order Form — ORDERS 2019 Färkkilä Lab,Order Form — ORDERS 2019 Färkkilä Lab,ORDERS 2019 Färkkilä lab.xlsx|ORDERS 2019 Färkkilä lab|ORDERS 2019 Färkkilä Lab|spreadsheet,0.95,True
asset_14dc2081706b3949,ORDERS 2020 Färkkilä lab.xlsx,Order Form — ORDERS 2020 Färkkilä Lab,Order Form — ORDERS 2020 Färkkilä Lab,ORDERS 2020 Färkkilä lab.xlsx|ORDERS 2020 Färkkilä lab|ORDERS 2020 Färkkilä Lab|spreadsheet,0.95,True
asset_b19f1fb767fa78a4,ORDERS 2021 Färkkilä lab.xlsx,Order Form — ORDERS 2021 Färkkilä Lab,Order Form — ORDERS 2021 Färkkilä Lab,ORDERS 2021 Färkkilä lab.xlsx|ORDERS 2021 Färkkilä lab|ORDERS 2021 Färkkilä Lab|spreadsheet,0.95,True
asset_2bb37328b00845aa,ORDERS 2022 Färkkilä lab.xlsx,Order Form — ORDERS 2022 Färkkilä Lab,Order Form — ORDERS 2022 Färkkilä Lab,ORDERS 2022 Färkkilä lab.xlsx|ORDERS 2022 Färkkilä lab|ORDERS 2022 Färkkilä Lab|spreadsheet,0.95,True
asset_138e922b3fe4c5da,ORDERS 2023 Färkkilä lab.xlsx,Order Form — ORDERS 2023 Färkkilä Lab,Order Form — ORDERS 2023 Färkkilä Lab,ORDERS 2023 Färkkilä lab.xlsx|ORDERS 2023 Färkkilä lab|ORDERS 2023 Färkkilä Lab|spreadsheet,0.95,True
asset_3ddde7a2566a4439,ORDERS 2024 Färkkilä lab.xlsx,Order Form — ORDERS 2024 Färkkilä Lab,Order Form — ORDERS 2024 Färkkilä Lab,ORDERS 2024 Färkkilä lab.xlsx|ORDERS 2024 Färkkilä lab|ORDERS 2024 Färkkilä Lab|spreadsheet,0.95,True
asset_480ad617796b1752,HERAfreeze HLE minus80 Färkkilä Kauppi UUD. VAHVISTUS-1060102408_20190611034714 (2).pdf,Order Form — Herafreeze HLE Minus80 Färkkilä Kauppi UUD Vahvistus 1060102408 20190611034714 (2),Order Form — Herafreeze HLE Minus80 Färkkila…,HERAfreeze HLE minus80 Färkkilä Kauppi UUD. VAHVISTUS-1060102408_20190611034714 (2).pdf|HERAfreeze HLE minus80 Färkkilä Kauppi UUD. VAHVISTUS-1060102408_20190611034714 (2)|Herafreeze HLE Minus80 Färkkilä Kauppi UUD Vahvistus 1060102408 20190611034714 (2),0.8,True
asset_a9924db995c780df,HERAfreeze minus80 Manual english-ult-manual-328398h01.pdf,Order Form — Herafreeze Minus80 Manual English Ult Manual 328398h01,Order Form — Herafreeze Minus80 Manual Englis…,HERAfreeze minus80 Manual english-ult-manual-328398h01.pdf|HERAfreeze minus80 Manual english-ult-manual-328398h01|Herafreeze Minus80 Manual English Ult Manual 328398h01,0.8,True
asset_ac267faa85e2acd2,Orders_for_Kauppi_lab_TERVA_collaboration.xlsx,Order Form — Orders for Kauppi Lab TERVA Collaboration,Order Form — Orders for Kauppi Lab TERVA Coll…,Orders_for_Kauppi_lab_TERVA_collaboration.xlsx|Orders_for_Kauppi_lab_TERVA_collaboration|Orders for Kauppi Lab TERVA Collaboration|spreadsheet,0.95,True
