duplicate_group_id,canonical_asset_id,duplicate_asset_ids,duplicate_type,duplicate_reason,recommended_action,safe_to_suppress_from_browse,safe_to_delete_after_human_review,keep_reason,risk_level,group_size
sha256_f037c40cd2f3662d,asset_35f43b875887dd37,"['asset_efd9db1566bf4166', 'asset_7461e59e3f20e7ef']",version_variant,3 files share SHA256 f037c40cd2f3…,review_before_suppress,False,False,Best extraction/metadata in ORDERS & RELATED INFORMATION/Archive/Varastokirjanpito.xlsx,medium,3
sha256_a5df2b9dea6b5365,asset_c4467def895bc2c3,['asset_26f74dbe0fdaf30f'],exact_duplicate,2 files share SHA256 a5df2b9dea6b…,suppress_duplicates_from_browse,True,False,Best extraction/metadata in ORDERS & RELATED INFORMATION/Billing and ordering instructions/Shipments_FedEx_UPS_Färkkilä_lab/Air Waybills FedEx/DNA_to_Tartu_Matilda_7_04_2025_AL_UPS CampusShip _ UPS - Finland.pdf,low,2
sha256_cb2a2b25e82b7880,asset_7bb288a6bb412ef3,['asset_fe119a6673d3a87b'],exact_duplicate,2 files share SHA256 cb2a2b25e82b…,suppress_duplicates_from_browse,True,False,"Best extraction/metadata in ORDERS & RELATED INFORMATION/Billing and ordering instructions/Shipments_FedEx_UPS_Färkkilä_lab/Shipment of DNA samples to Copenhagen, same as for Myriad test, 8.3.2021NC/FF DNAs sent to Denmark same as Myriad March 2021.xlsx",low,2
sha256_4e1a281116532ba4,asset_cf4f719d68c0a24c,['asset_54071a94cff0e484'],exact_duplicate,2 files share SHA256 4e1a28111653…,suppress_duplicates_from_browse,True,False,"Best extraction/metadata in Overview/Documents - permits, forms, datasheets, handbooks etc./BSL2_documents_Färkkilä_lab/Riskinarviointipohja_BSL-2.pdf",low,2
sha256_3813661daee2374b,asset_039f53b78ac25dc2,['asset_e5bd47c35a1fe4b6'],version_variant,2 files share SHA256 3813661daee2…,review_before_suppress,False,False,Best extraction/metadata in SOCIAL & MISCELLANEOUS/Lab_Photos/4-5.09.2025_lab_retreat_Nuuksio/IMG_5699.HEIC,medium,2
sha256_c1ecea3a97f57115,asset_d960745015a28fbb,['asset_c454022c5f0ebd5f'],version_variant,2 files share SHA256 c1ecea3a97f5…,review_before_suppress,False,False,Best extraction/metadata in SOCIAL & MISCELLANEOUS/Lab_Photos/4-5.09.2025_lab_retreat_Nuuksio/IMG_7929.HEIC,medium,2
sha256_ca478db45db9f345,asset_39e70878f1649b13,['asset_289556d7b6f07172'],exact_duplicate,2 files share SHA256 ca478db45db9…,suppress_duplicates_from_browse,True,False,"Best extraction/metadata in WET_LAB/Inventories - Reagents, samples, equipment/Cell culture reagents.xlsx",low,2
sha256_66cde3b3b380e1e5,asset_d1b7c844047cde93,['asset_f963561f6ac686cd'],exact_duplicate,2 files share SHA256 66cde3b3b380…,suppress_duplicates_from_browse,True,False,Best extraction/metadata in WET_LAB/NanoString GeoMx/Protocols/Newest Protocols 05.2025/MAN-10150-06_GeoMx_DSP_Manual_Slide_Prep_User_Manual.pdf,low,2
sha256_ec7c3453b7f3a8e8,asset_847b348a27fda26f,"['asset_375c6275956a8c5f', 'asset_959458c51cdc8ea9']",exact_duplicate,3 files share SHA256 ec7c3453b7f3…,suppress_duplicates_from_browse,True,False,Best extraction/metadata in WET_LAB/NanoString GeoMx/Protocols/Protocol 07.2024/MAN-10152-04-EX_GeoMx_DSP_Best_Practices_and_Troubleshooting_Excerpt_BSB.pdf,low,3
sha256_20f5accf51d480ba,asset_428de7bde3e4a825,['asset_d4ebfca2ced596ba'],exact_duplicate,2 files share SHA256 20f5accf51d4…,suppress_duplicates_from_browse,True,False,Best extraction/metadata in WET_LAB/NanoString GeoMx/Protocols/Newest Protocols 05.2025/MAN-10152-06_GeoMx_DSP_Instrument_User_Manual_for_software_3-1-2.pdf,low,2
sha256_d6a1419d6cbde7b4,asset_c6859d147074a2c3,['asset_34907ac2fc240850'],exact_duplicate,2 files share SHA256 d6a1419d6cbd…,suppress_duplicates_from_browse,True,False,Best extraction/metadata in WET_LAB/NanoString GeoMx/Protocols/Newest Protocols 05.2025/MAN-10153-06_GeoMx_DSP_NGS_Readout_User_Manual.pdf,low,2
sha256_ad21ae2a16ae46f7,asset_fdbcba2285ff0626,['asset_c86839d0d6de0761'],exact_duplicate,2 files share SHA256 ad21ae2a16ae…,suppress_duplicates_from_browse,True,False,Best extraction/metadata in WET_LAB/NanoString GeoMx/Protocols/Newest Protocols 05.2025/MAN-10154-06_GeoMx_DSP_Data_Analysis_User_Manual_for_software_3-1-2.pdf,low,2
sha256_488e640437e3d78b,asset_45595681f15eca6f,['asset_ea826f35ac3ce232'],exact_duplicate,2 files share SHA256 488e640437e3…,suppress_duplicates_from_browse,True,False,"Best extraction/metadata in WET_LAB/Protocols, instructions/Anastasia/Tissue_processing_protocol_TissueServices_Biomedicum.pdf",low,2
sha256_a670b0ec04593f97,asset_b9a713ef6d98ea6a,['asset_6a1d84507786f8f5'],version_variant,2 files share SHA256 a670b0ec0459…,review_before_suppress,False,False,Best extraction/metadata in WET_LAB/Waste management/Filled FORTUM Transportation forms/FORTUM Transportation Form filled 29 12 2021NC.pdf,medium,2
sha256_d038b78d185d639c,asset_90e34f60d10e4862,['asset_ef8e00544235ed1c'],version_variant,2 files share SHA256 d038b78d185d…,review_before_suppress,False,False,Best extraction/metadata in WET_LAB/tCycIF projects/Instructions/Experiment planning/Project_X_TEMPLATE_DO_NOT_OVERWRITE_24.4.2025SS.xlsx,medium,2
sha256_d959fba40904fa85,asset_657334fe9bc97456,['asset_6bc34494955f3340'],exact_duplicate,2 files share SHA256 d959fba40904…,suppress_duplicates_from_browse,True,False,Best extraction/metadata in WET_LAB/tCycIF projects/tCycIF_individual_Projects/Project_12 Space.xlsx,low,2
sha256_cd6b6d43412bef20,asset_147a36557ae139bb,['asset_ba256d1feb8b5d58'],exact_duplicate,2 files share SHA256 cd6b6d43412b…,suppress_duplicates_from_browse,True,False,Best extraction/metadata in WET_LAB/tCycIF projects/tCycIF_individual_Projects/Project_14_CIN2.xlsx,low,2
