asset_id,duplicate_group_id,reason,recommended_action
asset_efd9db1566bf4166,sha256_f037c40cd2f3662d,3 files share SHA256 f037c40cd2f3…,review_before_suppress
asset_7461e59e3f20e7ef,sha256_f037c40cd2f3662d,3 files share SHA256 f037c40cd2f3…,review_before_suppress
asset_e5bd47c35a1fe4b6,sha256_3813661daee2374b,2 files share SHA256 3813661daee2…,review_before_suppress
asset_c454022c5f0ebd5f,sha256_c1ecea3a97f57115,2 files share SHA256 c1ecea3a97f5…,review_before_suppress
asset_6a1d84507786f8f5,sha256_a670b0ec04593f97,2 files share SHA256 a670b0ec0459…,review_before_suppress
asset_ef8e00544235ed1c,sha256_d038b78d185d639c,2 files share SHA256 d038b78d185d…,review_before_suppress
asset_a18cb0081e2991e1,sha256_01ba4719c80b6fe9,9 files share SHA256 01ba4719c80b…,review_before_suppress
asset_7dd543e014290b57,sha256_01ba4719c80b6fe9,9 files share SHA256 01ba4719c80b…,review_before_suppress
asset_7e9ac9dd4c707849,sha256_01ba4719c80b6fe9,9 files share SHA256 01ba4719c80b…,review_before_suppress
asset_4eb3c51f94b0377a,sha256_01ba4719c80b6fe9,9 files share SHA256 01ba4719c80b…,review_before_suppress
asset_80ab3cfec8611219,sha256_01ba4719c80b6fe9,9 files share SHA256 01ba4719c80b…,review_before_suppress
asset_58e2e91352363ac4,sha256_01ba4719c80b6fe9,9 files share SHA256 01ba4719c80b…,review_before_suppress
asset_dc9c2b3d1e1ab35b,sha256_01ba4719c80b6fe9,9 files share SHA256 01ba4719c80b…,review_before_suppress
asset_534b3527dd0bffb0,sha256_01ba4719c80b6fe9,9 files share SHA256 01ba4719c80b…,review_before_suppress
asset_e2d3d803de1f06fa,sha256_1f9897a20858905b,2 files share SHA256 1f9897a20858…,review_before_suppress
asset_debb91e561bcc54d,sha256_288b37e76acf3235,2 files share SHA256 288b37e76acf…,review_before_suppress
asset_832e52bde8b80d92,sha256_d1b2b9c88f228ed4,3 files share SHA256 d1b2b9c88f22…,review_before_suppress
asset_23464a8341d54138,sha256_d1b2b9c88f228ed4,3 files share SHA256 d1b2b9c88f22…,review_before_suppress
asset_822613b43963272d,sha256_9dd95609b60aab58,2 files share SHA256 9dd95609b60a…,review_before_suppress
asset_bf117b60ff2ff5fa,sha256_f735d6c2e29aeddf,2 files share SHA256 f735d6c2e29a…,review_before_suppress
asset_7cc434669922a726,sha256_e34e9a417ace217f,2 files share SHA256 e34e9a417ace…,review_before_suppress
asset_1a11801bb3fdd53b,sha256_6d88239f51a33ca9,2 files share SHA256 6d88239f51a3…,review_before_suppress
asset_ca4587005211b77c,sha256_73cc2133256369e1,2 files share SHA256 73cc21332563…,review_before_suppress
asset_c963872ebc01db7e,sha256_217c3dd620028700,2 files share SHA256 217c3dd62002…,review_before_suppress
asset_33f7bdd26a5abd0d,sha256_f5a1d0491d446e69,2 files share SHA256 f5a1d0491d44…,review_before_suppress
asset_8711a82a053c34c7,sha256_2617d78b9d7e24be,2 files share SHA256 2617d78b9d7e…,review_before_suppress
asset_c598781e9edc81fb,sha256_7f645d8f207e7ec7,2 files share SHA256 7f645d8f207e…,review_before_suppress
asset_362bb90c912d107f,sha256_191b9c58c173ce5a,3 files share SHA256 191b9c58c173…,review_before_suppress
asset_38d66df9491fc1b0,sha256_191b9c58c173ce5a,3 files share SHA256 191b9c58c173…,review_before_suppress
asset_03537dbf42f7e903,sha256_a19821c762324894,2 files share SHA256 a19821c76232…,review_before_suppress
asset_82064ec9a13068dd,sha256_4cda4c595e8c7863,2 files share SHA256 4cda4c595e8c…,review_before_suppress
asset_2696ce61c1a77104,sha256_0a32b410f0035520,2 files share SHA256 0a32b410f003…,review_before_suppress
asset_540f974fe0b154d9,sha256_67c9dbd08926e822,2 files share SHA256 67c9dbd08926…,review_before_suppress
asset_a721ad31bfa794b5,sha256_c7f94be8b5ab6d65,2 files share SHA256 c7f94be8b5ab…,review_before_suppress
asset_e8ba9245f4b7097d,sha256_5684de01e973185e,2 files share SHA256 5684de01e973…,review_before_suppress
asset_fee24e48104d8e9a,sha256_5e0334eeac23602c,2 files share SHA256 5e0334eeac23…,review_before_suppress
asset_71980aad4c83ad9d,sha256_1c1ec1f843565fd0,2 files share SHA256 1c1ec1f84356…,review_before_suppress
asset_b14b13d7f6c4585f,sha256_28b8a816566f7716,12 files share SHA256 28b8a816566f…,review_before_suppress
asset_5955f981e90ad6b5,sha256_28b8a816566f7716,12 files share SHA256 28b8a816566f…,review_before_suppress
asset_493e08528efa1ef8,sha256_28b8a816566f7716,12 files share SHA256 28b8a816566f…,review_before_suppress
asset_8eeaaa7f2542920d,sha256_28b8a816566f7716,12 files share SHA256 28b8a816566f…,review_before_suppress
asset_64176045c1f01fe7,sha256_28b8a816566f7716,12 files share SHA256 28b8a816566f…,review_before_suppress
asset_74d8aa6cb5a2937d,sha256_28b8a816566f7716,12 files share SHA256 28b8a816566f…,review_before_suppress
asset_2847d9dcdad35ef9,sha256_28b8a816566f7716,12 files share SHA256 28b8a816566f…,review_before_suppress
asset_1fd41475925b64c0,sha256_28b8a816566f7716,12 files share SHA256 28b8a816566f…,review_before_suppress
asset_aa1cc8a31906477a,sha256_28b8a816566f7716,12 files share SHA256 28b8a816566f…,review_before_suppress
asset_22e47692c9763310,sha256_28b8a816566f7716,12 files share SHA256 28b8a816566f…,review_before_suppress
asset_9f8adb37f8a1360a,sha256_28b8a816566f7716,12 files share SHA256 28b8a816566f…,review_before_suppress
asset_6ec64501f1df490c,sha256_4aa6cda8fcf21cb2,2 files share SHA256 4aa6cda8fcf2…,review_before_suppress
asset_27dc370ef0580fdb,sha256_0549131f119ea9ea,2 files share SHA256 0549131f119e…,review_before_suppress
asset_364b946ba69191ba,sha256_1ada31025eee1ea5,2 files share SHA256 1ada31025eee…,review_before_suppress
asset_f6815597b0366a0e,sha256_d5ba68dea572a199,2 files share SHA256 d5ba68dea572…,review_before_suppress
asset_4da848fb46cb6659,sha256_58d562b05e28b3f9,2 files share SHA256 58d562b05e28…,review_before_suppress
asset_f7d23c3ba7dfb503,sha256_17ef6582edba61fa,2 files share SHA256 17ef6582edba…,review_before_suppress
asset_4f62a7ff5d99b273,sha256_e16d42b5ea214de7,3 files share SHA256 e16d42b5ea21…,review_before_suppress
asset_57c50699f1eb64d4,sha256_e16d42b5ea214de7,3 files share SHA256 e16d42b5ea21…,review_before_suppress
asset_22b86400a8f19cfc,sha256_a9a504d1c6568a67,2 files share SHA256 a9a504d1c656…,review_before_suppress
asset_98c6a4316276cbab,sha256_74f9c36e6d28120a,3 files share SHA256 74f9c36e6d28…,review_before_suppress
asset_0408de6c0d99d60a,sha256_74f9c36e6d28120a,3 files share SHA256 74f9c36e6d28…,review_before_suppress
