asset_id,original_filename,logical_path,path_breadcrumb,domain,section,is_project_file,project_id,project_category_original,display_title,improved_display_title,short_title,improved_short_title,display_subtitle,document_role,inferred_document_role,professional_role_label,current_category,current_subcategory,cleaned_domain,cleaned_category,cleaned_subcategory,cleaned_domain_revised,cleaned_category_revised,classification_reason_revised,page_id,extraction_status,indexed_in_search,text_eligible_revised,preview_status_revised,needs_redigitalization,needs_redigitalization_revised,duplicate_status,duplicate_type,duplicate_action_recommendation,browse_visibility,sensitive_flag,unknown_type,unknown_type_revised,confidence_score,confidence_revised,review_status,human_review_needed,metadata_score,metadata_grade,metadata_score_revised,metadata_grade_revised,missing_metadata_fields_revised,primary_ui_badges,recommended_action,metadata_display_level,rename_needed,rename_needed_revised,suggested_filename_for_later_review,search_aliases_enhanced,title_issue_flags,file_extension_revised
asset_3a949126109db954,.DS_Store,ORDERS & RELATED INFORMATION/.DS_Store,ORDERS & RELATED INFORMATION,orders_procurement,orders_archive,False,,,System File — ,System Artifact — .DS_Store,System File — ,System Artifact — .DS_Store,Hidden from normal browse · safe to suppress after review,system_artifact,system_artifact,System Artifact,Orders Archive,.DS_Store,Lab Knowledge,Orders Archive,.DS_Store,System & Hidden Artifacts,System Artifacts,Hidden technical file,orders.archive,skipped,False,False,not_applicable,False,False,unique,not_duplicate,none,hidden_admin_only,False,True,False,0.86,0.95,needs_human_review,False,92,excellent,100,excellent,,,hide_from_normal_browse_after_review,admin_only,True,False,System_Artifact_.DS_Store,.DS_Store|System File —|DS Store|System Artifact — .DS_Store,system_artifact,[no_ext]
asset_c3ff5fa9c77c2fd9,Anni_Virtanen_HUS_LAB_account_2019_purchases.xlsx,ORDERS & RELATED INFORMATION/Archive/Anni_Virtanen_HUS_LAB_account_2019_purchases.xlsx,ORDERS & RELATED INFORMATION › Archive,orders_procurement,orders_archive,False,,,Order Form — Anni Virtanen HUS LAB Account 2019 Purchases,Anni Virtanen HUS LAB Account 2019 Purchases — Order / Procurement Record,Order Form — Anni Virtanen HUS LAB Account 20…,Anni Virtanen HUS LAB Account 2019 Purchases — Order / Procurement Reco…,Order / Procurement Record,order_form,order_record,Order / Procurement Record,Orders Archive,Archive,Orders & Procurement,Billing & Accounts,Order Form,Orders & Procurement,Procurement Records,general order/procurement record,orders.archive,extracted,True,True,available,False,False,unique,not_duplicate,none,normal,False,False,False,0.95,0.95,auto_high_confidence,False,100,excellent,100,excellent,,Indexed,ready_for_sleek_browse,normal_sleek,True,True,Anni_Virtanen_HUS_LAB_Account_2019_Purchases_Order_-_Procurement_Record.xlsx,Anni_Virtanen_HUS_LAB_account_2019_purchases.xlsx|Anni_Virtanen_HUS_LAB_account_2019_purchases|Order Form — Anni Virtanen HUS LAB Account 2019 Purchases|Anni Virtanen HUS LAB Account 2019 Purchases|Anni Virtanen HUS LAB Account 2019 Purchases — Order / Procurement Record,,.xlsx
asset_31f94b373dfd76e3,Catalog export from quartzy.xlsx,ORDERS & RELATED INFORMATION/Archive/Catalog export from quartzy.xlsx,ORDERS & RELATED INFORMATION › Archive,orders_procurement,orders_archive,False,,,Order Form — Catalog Export From Quartzy,Catalog Export from Quartzy — Order / Procurement Record,Order Form — Catalog Export From Quartzy,Catalog Export from Quartzy — Order / Procurement Record,Order / Procurement Record,order_form,order_record,Order / Procurement Record,Orders Archive,Archive,Orders & Procurement,Billing & Accounts,Order Form,Orders & Procurement,Procurement Records,general order/procurement record,orders.archive,extracted,True,True,available,False,False,unique,not_duplicate,none,normal,False,False,False,0.95,0.95,auto_high_confidence,False,100,excellent,100,excellent,,Indexed,ready_for_sleek_browse,normal_sleek,True,True,Catalog_Export_from_Quartzy_Order_-_Procurement_Record.xlsx,Catalog export from quartzy.xlsx|Catalog export from quartzy|Order Form — Catalog Export From Quartzy|Catalog Export from Quartzy|Catalog Export from Quartzy — Order / Procurement Record,,.xlsx
asset_14b647b9a135c577,Bill Anniinas computer 2 6 2020.pdf,ORDERS & RELATED INFORMATION/Archive/Computers_orders/Bill Anniinas computer 2 6 2020.pdf,ORDERS & RELATED INFORMATION › Archive › Computers_orders,orders_procurement,orders_archive,False,,,Order Form — Bill Anniinas Computer 2 6 2020,Bill Anniinas Computer 2 6 2020 — Billing / Invoice — 2020-06-02,Order Form — Bill Anniinas Computer 2 6 2020,Bill Anniinas Computer 2 6 2020 — Billing / Invoice — 2020-06-02,Billing / Invoice,order_form,billing_or_invoice,Billing / Invoice,Orders Archive,Archive,Orders & Procurement,Billing & Accounts,Order Form,Orders & Procurement,Billing & Accounts,"billing, invoice, account or payment",orders.archive,eligible_text,True,True,available,False,False,unique,not_duplicate,none,normal,False,False,False,0.8,0.80,auto_medium_confidence,False,92,excellent,100,excellent,,Indexed,ready_for_sleek_browse,normal_sleek,True,True,Bill_Anniinas_Computer_2_6_2020_Billing_-_Invoice_2020-06-02.pdf,Bill Anniinas computer 2 6 2020.pdf|Bill Anniinas computer 2 6 2020|Order Form — Bill Anniinas Computer 2 6 2020|Bill Anniinas Computer 2 6 2020|Bill Anniinas Computer 2 6 2020 — Billing / Invoice — 2020-06-02,,.pdf
asset_283b85c3b1b2122c,Tietokonetilaus for Anniina 31 3 2020.rtf,ORDERS & RELATED INFORMATION/Archive/Computers_orders/Tietokonetilaus for Anniina 31 3 2020.rtf,ORDERS & RELATED INFORMATION › Archive › Computers_orders,orders_procurement,orders_archive,False,,,Order Form — Tietokonetilaus for Anniina 31 3 2020,Tietokonetilaus for Anniina 31 3 2020 — Order / Procurement Record — 2020-03-31,Order Form — Tietokonetilaus for Anniina 31 3…,Tietokonetilaus for Anniina 31 3 2020 — Order / Procurement Record — 20…,Order / Procurement Record,order_form,order_record,Order / Procurement Record,Orders Archive,Archive,Orders & Procurement,Billing & Accounts,Order Form,Orders & Procurement,Procurement Records,general order/procurement record,orders.archive,eligible_text,True,True,available,False,False,unique,not_duplicate,none,normal,False,False,False,0.8,0.80,auto_medium_confidence,False,92,excellent,100,excellent,,Indexed,ready_for_sleek_browse,normal_sleek,True,True,Tietokonetilaus_for_Anniina_31_3_2020_Order_-_Procurement_Record_2020-03-31.rtf,Tietokonetilaus for Anniina 31 3 2020.rtf|Tietokonetilaus for Anniina 31 3 2020|Order Form — Tietokonetilaus for Anniina 31 3 2020|Tietokonetilaus for Anniina 31 3 2020 — Order / Procurement Record — 2020-03-31,,.rtf
asset_8ac175e67fa49983,Credit card purchase invoicing information.docx,ORDERS & RELATED INFORMATION/Archive/Credit card purchase invoicing information.docx,ORDERS & RELATED INFORMATION › Archive,orders_procurement,orders_archive,False,,,Order Form — Credit Card Purchase Invoicing Information,Credit Card Purchase Invoicing Information — Billing / Invoice,Order Form — Credit Card Purchase Invoicing I…,Credit Card Purchase Invoicing Information — Billing / Invoice,Billing / Invoice,order_form,billing_or_invoice,Billing / Invoice,Orders Archive,Archive,Orders & Procurement,Billing & Accounts,Order Form,Orders & Procurement,Billing & Accounts,"billing, invoice, account or payment",orders.archive,eligible_text,True,True,available,False,False,unique,not_duplicate,none,normal,False,False,False,0.8,0.80,auto_medium_confidence,False,92,excellent,100,excellent,,Indexed,ready_for_sleek_browse,normal_sleek,True,True,Credit_Card_Purchase_Invoicing_Information_Billing_-_Invoice.docx,Credit card purchase invoicing information.docx|Credit card purchase invoicing information|Order Form — Credit Card Purchase Invoicing Information|Credit Card Purchase Invoicing Information|Credit Card Purchase Invoicing Information — Billing / Invoice,,.docx
asset_fc64b178b984d75f,FICAN_SOUTH_Färkkilä_lab.xlsx,ORDERS & RELATED INFORMATION/Archive/FICAN_SOUTH_Färkkilä_lab.xlsx,ORDERS & RELATED INFORMATION › Archive,orders_procurement,orders_archive,False,,,Order Form — FICAN SOUTH Färkkilä Lab,FICAN South Färkkilä Lab — Order / Procurement Record,Order Form — FICAN SOUTH Färkkilä Lab,FICAN South Färkkilä Lab — Order / Procurement Record,Order / Procurement Record,order_form,order_record,Order / Procurement Record,Orders Archive,Archive,Orders & Procurement,Billing & Accounts,Order Form,Orders & Procurement,Procurement Records,general order/procurement record,orders.archive,extracted,True,True,available,False,False,unique,not_duplicate,none,normal,False,False,False,0.95,0.95,auto_high_confidence,False,100,excellent,100,excellent,,Indexed,ready_for_sleek_browse,normal_sleek,True,True,FICAN_South_Farkkila_Lab_Order_-_Procurement_Record.xlsx,FICAN_SOUTH_Färkkilä_lab.xlsx|FICAN_SOUTH_Färkkilä_lab|Order Form — FICAN SOUTH Färkkilä Lab|FICAN South Färkkilä Lab|FICAN South Färkkilä Lab — Order / Procurement Record,,.xlsx
asset_22625f0fa423c9d5,FiCAN_South_money_from_2019_AF_lab_debt_to_AV_lab.xlsx,ORDERS & RELATED INFORMATION/Archive/FiCAN_South_money_from_2019_AF_lab_debt_to_AV_lab.xlsx,ORDERS & RELATED INFORMATION › Archive,orders_procurement,orders_archive,False,,,Order Form — Fi CAN South Money From 2019 AF Lab Debt to AV Lab,Fi CAN South Money from 2019 AF Lab Debt to AV Lab — Billing / Invoice,Order Form — Fi CAN South Money From 2019 AF …,Fi CAN South Money from 2019 AF Lab Debt to AV Lab — Billing / Invoice,Billing / Invoice,order_form,billing_or_invoice,Billing / Invoice,Orders Archive,Archive,Orders & Procurement,Billing & Accounts,Order Form,Orders & Procurement,Billing & Accounts,"billing, invoice, account or payment",orders.archive,extracted,True,True,available,False,False,unique,not_duplicate,none,normal,False,False,False,0.95,0.95,auto_high_confidence,False,100,excellent,100,excellent,,Indexed,ready_for_sleek_browse,normal_sleek,True,True,Fi_CAN_South_Money_from_2019_AF_Lab_Debt_to_AV_Lab_Billing_-_Invoice.xlsx,FiCAN_South_money_from_2019_AF_lab_debt_to_AV_lab.xlsx|FiCAN_South_money_from_2019_AF_lab_debt_to_AV_lab|Order Form — Fi CAN South Money From 2019 AF Lab Debt to AV Lab|Fi CAN South Money from 2019 AF Lab Debt to AV Lab|Fi CAN South Money from 2019 AF Lab Debt to AV Lab — Billing / Invoice,,.xlsx
asset_a323d0479be46fd4,Gas ordering instructions at the Faculty of Medicine.pdf,ORDERS & RELATED INFORMATION/Archive/Gas_ordering_instructions_Woikoski/Gas ordering instructions at the Faculty of Medicine.pdf,ORDERS & RELATED INFORMATION › Archive › Gas_ordering_instructions_Woikoski,orders_procurement,orders_archive,False,,,Order Form — Gas Ordering Instructions At the Faculty of Medicine,Gas Ordering Instructions at the Faculty of Medicine — Order / Procurement Record,Order Form — Gas Ordering Instructions At the…,Gas Ordering Instructions at the Faculty of Medicine — Order / Procurem…,Order / Procurement Record,order_form,order_record,Order / Procurement Record,Orders Archive,Archive,Orders & Procurement,Billing & Accounts,Order Form,Orders & Procurement,Gas & Facility Services,gas ordering / facility service,orders.archive,eligible_text,True,True,available,False,False,unique,not_duplicate,none,normal,False,False,False,0.8,0.80,auto_medium_confidence,False,92,excellent,100,excellent,,Indexed,ready_for_sleek_browse,normal_sleek,True,True,Gas_Ordering_Instructions_at_the_Faculty_of_Medicine_Order_-_Procurement_Record.pdf,Gas ordering instructions at the Faculty of Medicine.pdf|Gas ordering instructions at the Faculty of Medicine|Order Form — Gas Ordering Instructions At the Faculty of Medicine|Gas Ordering Instructions at the Faculty of Medicine|Gas Ordering Instructions at the Faculty of Medicine — Order / Procurement Record,,.pdf
asset_0b66ca85d429c5de,Kaasuntilausohje Lääketieteellisessä tiedekunnassa.pdf,ORDERS & RELATED INFORMATION/Archive/Gas_ordering_instructions_Woikoski/Kaasuntilausohje Lääketieteellisessä tiedekunnassa.pdf,ORDERS & RELATED INFORMATION › Archive › Gas_ordering_instructions_Woikoski,orders_procurement,orders_archive,False,,,Order Form — Kaasuntilausohje Lääketieteellisessä Tiedekunnassa,Kaasuntilausohje Lääketieteellisessä Tiedekunnassa — Order / Procurement Record,Order Form — Kaasuntilausohje Lääketieteell…,Kaasuntilausohje Lääketieteellisessä Tiedekunnassa — Order / Procuremen…,Order / Procurement Record,order_form,order_record,Order / Procurement Record,Orders Archive,Archive,Orders & Procurement,Billing & Accounts,Order Form,Orders & Procurement,Gas & Facility Services,gas ordering / facility service,orders.archive,eligible_text,True,True,available,False,False,unique,not_duplicate,none,normal,False,False,False,0.8,0.80,auto_medium_confidence,False,92,excellent,100,excellent,,Indexed,ready_for_sleek_browse,normal_sleek,True,True,Kaasuntilausohje_Laaketieteellisessa_Tiedekunnassa_Order_-_Procurement_Record.pdf,Kaasuntilausohje Lääketieteellisessä tiedekunnassa.pdf|Kaasuntilausohje Lääketieteellisessä tiedekunnassa|Order Form — Kaasuntilausohje Lääketieteellisessä Tiedekunnassa|Kaasuntilausohje Lääketieteellisessä Tiedekunnassa|Kaasuntilausohje Lääketieteellisessä Tiedekunnassa — Order / Procurement Record,,.pdf
