asset_id,original_filename,logical_path,domain,section,is_project_file,project_id,project_category_original,display_title,short_title,document_role,current_category,current_subcategory,cleaned_domain,cleaned_category,cleaned_subcategory,page_id,extraction_status,indexed_in_search,duplicate_status,duplicate_type,confidence_score,review_status,metadata_score,metadata_grade,rename_needed,unknown_type,needs_redigitalization
asset_3a949126109db954,.DS_Store,ORDERS & RELATED INFORMATION/.DS_Store,orders_procurement,orders_archive,False,,,System File — ,System File — ,system_artifact,Orders Archive,.DS_Store,Lab Knowledge,Orders Archive,.DS_Store,orders.archive,skipped,False,unique,not_duplicate,0.86,needs_human_review,92,excellent,True,True,False
asset_c3ff5fa9c77c2fd9,Anni_Virtanen_HUS_LAB_account_2019_purchases.xlsx,ORDERS & RELATED INFORMATION/Archive/Anni_Virtanen_HUS_LAB_account_2019_purchases.xlsx,orders_procurement,orders_archive,False,,,Order Form — Anni Virtanen HUS LAB Account 2019 Purchases,Order Form — Anni Virtanen HUS LAB Account 20…,order_form,Orders Archive,Archive,Orders & Procurement,Billing & Accounts,Order Form,orders.archive,extracted,True,unique,not_duplicate,0.95,auto_high_confidence,100,excellent,True,False,False
asset_31f94b373dfd76e3,Catalog export from quartzy.xlsx,ORDERS & RELATED INFORMATION/Archive/Catalog export from quartzy.xlsx,orders_procurement,orders_archive,False,,,Order Form — Catalog Export From Quartzy,Order Form — Catalog Export From Quartzy,order_form,Orders Archive,Archive,Orders & Procurement,Billing & Accounts,Order Form,orders.archive,extracted,True,unique,not_duplicate,0.95,auto_high_confidence,100,excellent,True,False,False
asset_14b647b9a135c577,Bill Anniinas computer 2 6 2020.pdf,ORDERS & RELATED INFORMATION/Archive/Computers_orders/Bill Anniinas computer 2 6 2020.pdf,orders_procurement,orders_archive,False,,,Order Form — Bill Anniinas Computer 2 6 2020,Order Form — Bill Anniinas Computer 2 6 2020,order_form,Orders Archive,Archive,Orders & Procurement,Billing & Accounts,Order Form,orders.archive,eligible_text,True,unique,not_duplicate,0.8,auto_medium_confidence,92,excellent,True,False,False
asset_283b85c3b1b2122c,Tietokonetilaus for Anniina 31 3 2020.rtf,ORDERS & RELATED INFORMATION/Archive/Computers_orders/Tietokonetilaus for Anniina 31 3 2020.rtf,orders_procurement,orders_archive,False,,,Order Form — Tietokonetilaus for Anniina 31 3 2020,Order Form — Tietokonetilaus for Anniina 31 3…,order_form,Orders Archive,Archive,Orders & Procurement,Billing & Accounts,Order Form,orders.archive,eligible_text,True,unique,not_duplicate,0.8,auto_medium_confidence,92,excellent,True,False,False
asset_8ac175e67fa49983,Credit card purchase invoicing information.docx,ORDERS & RELATED INFORMATION/Archive/Credit card purchase invoicing information.docx,orders_procurement,orders_archive,False,,,Order Form — Credit Card Purchase Invoicing Information,Order Form — Credit Card Purchase Invoicing I…,order_form,Orders Archive,Archive,Orders & Procurement,Billing & Accounts,Order Form,orders.archive,eligible_text,True,unique,not_duplicate,0.8,auto_medium_confidence,92,excellent,True,False,False
asset_fc64b178b984d75f,FICAN_SOUTH_Färkkilä_lab.xlsx,ORDERS & RELATED INFORMATION/Archive/FICAN_SOUTH_Färkkilä_lab.xlsx,orders_procurement,orders_archive,False,,,Order Form — FICAN SOUTH Färkkilä Lab,Order Form — FICAN SOUTH Färkkilä Lab,order_form,Orders Archive,Archive,Orders & Procurement,Billing & Accounts,Order Form,orders.archive,extracted,True,unique,not_duplicate,0.95,auto_high_confidence,100,excellent,True,False,False
asset_22625f0fa423c9d5,FiCAN_South_money_from_2019_AF_lab_debt_to_AV_lab.xlsx,ORDERS & RELATED INFORMATION/Archive/FiCAN_South_money_from_2019_AF_lab_debt_to_AV_lab.xlsx,orders_procurement,orders_archive,False,,,Order Form — Fi CAN South Money From 2019 AF Lab Debt to AV Lab,Order Form — Fi CAN South Money From 2019 AF …,order_form,Orders Archive,Archive,Orders & Procurement,Billing & Accounts,Order Form,orders.archive,extracted,True,unique,not_duplicate,0.95,auto_high_confidence,100,excellent,True,False,False
asset_a323d0479be46fd4,Gas ordering instructions at the Faculty of Medicine.pdf,ORDERS & RELATED INFORMATION/Archive/Gas_ordering_instructions_Woikoski/Gas ordering instructions at the Faculty of Medicine.pdf,orders_procurement,orders_archive,False,,,Order Form — Gas Ordering Instructions At the Faculty of Medicine,Order Form — Gas Ordering Instructions At the…,order_form,Orders Archive,Archive,Orders & Procurement,Billing & Accounts,Order Form,orders.archive,eligible_text,True,unique,not_duplicate,0.8,auto_medium_confidence,92,excellent,True,False,False
asset_0b66ca85d429c5de,Kaasuntilausohje Lääketieteellisessä tiedekunnassa.pdf,ORDERS & RELATED INFORMATION/Archive/Gas_ordering_instructions_Woikoski/Kaasuntilausohje Lääketieteellisessä tiedekunnassa.pdf,orders_procurement,orders_archive,False,,,Order Form — Kaasuntilausohje Lääketieteellisessä Tiedekunnassa,Order Form — Kaasuntilausohje Lääketieteell…,order_form,Orders Archive,Archive,Orders & Procurement,Billing & Accounts,Order Form,orders.archive,eligible_text,True,unique,not_duplicate,0.8,auto_medium_confidence,92,excellent,True,False,False
asset_92fd7a8cac1eccbf,Woikoski_liite_3_hintaliite_laak_erik_teol.pdf,ORDERS & RELATED INFORMATION/Archive/Gas_ordering_instructions_Woikoski/Woikoski_liite_3_hintaliite_laak_erik_teol.pdf,orders_procurement,orders_archive,False,,,Order Form — Woikoski Liite 3 Hintaliite Laak Erik Teol,Order Form — Woikoski Liite 3 Hintaliite Laak…,order_form,Orders Archive,Archive,Orders & Procurement,Billing & Accounts,Order Form,orders.archive,eligible_text,True,unique,not_duplicate,0.8,auto_medium_confidence,92,excellent,True,False,False
asset_f236b04bfa9cd0b0,Infektiosäkki(1).docx,ORDERS & RELATED INFORMATION/Archive/Lab_coats_Färkkilä_lab/Infektiosäkki(1).docx,orders_procurement,orders_archive,False,,,Order Form — Infektiosäkki(1),Order Form — Infektiosäkki(1),order_form,Orders Archive,Archive,Orders & Procurement,Billing & Accounts,Order Form,orders.archive,eligible_text,True,unique,not_duplicate,0.8,auto_medium_confidence,92,excellent,True,False,False
asset_bbe3ea7c33954de6,Infektiosäkki.docx,ORDERS & RELATED INFORMATION/Archive/Lab_coats_Färkkilä_lab/Infektiosäkki.docx,orders_procurement,orders_archive,False,,,Order Form — Infektiosäkki,Order Form — Infektiosäkki,order_form,Orders Archive,Archive,Orders & Procurement,Billing & Accounts,Order Form,orders.archive,eligible_text,True,unique,not_duplicate,0.8,auto_medium_confidence,92,excellent,True,False,False
asset_98c9dd3a66653219,Lab coats Färkkila lab asiakasnumero.docx,ORDERS & RELATED INFORMATION/Archive/Lab_coats_Färkkilä_lab/Lab coats Färkkila lab asiakasnumero.docx,orders_procurement,orders_archive,False,,,Order Form — Lab Coats Färkkila Lab Asiakasnumero,Order Form — Lab Coats Färkkila Lab Asiakasn…,order_form,Orders Archive,Archive,Orders & Procurement,Billing & Accounts,Order Form,orders.archive,eligible_text,True,unique,not_duplicate,0.8,auto_medium_confidence,92,excellent,True,False,False
asset_59382ba7cca709c0,Työvaatekoonti LAB COATS Lindström Sept2019.xlsx,ORDERS & RELATED INFORMATION/Archive/Lab_coats_Färkkilä_lab/Työvaatekoonti LAB COATS Lindström Sept2019.xlsx,orders_procurement,orders_archive,False,,,Order Form — Työvaatekoonti LAB COATS Lindström Sept2019,Order Form — Työvaatekoonti LAB COATS Lindst…,order_form,Orders Archive,Archive,Orders & Procurement,Billing & Accounts,Order Form,orders.archive,extracted,True,unique,not_duplicate,0.95,auto_high_confidence,100,excellent,True,False,False
asset_a8de3d88de3e348f,BioNordika QuoteTA2022-0505-KL HY Anastasiya Chernenko (Färkkilä & Vähärautio labs).pdf,ORDERS & RELATED INFORMATION/Archive/OFFERS_QUOTES/BioNordika QuoteTA2022-0505-KL HY Anastasiya Chernenko (Färkkilä & Vähärautio labs).pdf,orders_procurement,orders_archive,False,,,Order Form — Bio Nordika Quote TA2022 0505 KL HY Anastasiya Chernenko (färkkilä & Vähärautio Labs),Order Form — Bio Nordika Quote TA2022 0505 KL…,order_form,Orders Archive,Archive,Orders & Procurement,Billing & Accounts,Order Form,orders.archive,eligible_text,True,unique,not_duplicate,0.8,auto_medium_confidence,92,excellent,True,False,False
asset_67eac9eb48a1e19f,Fisher 2019 Eppendorf centrifuges offer.pdf,ORDERS & RELATED INFORMATION/Archive/OFFERS_QUOTES/Fisher 2019 Eppendorf centrifuges offer.pdf,orders_procurement,orders_archive,False,,,Order Form — Fisher 2019 Eppendorf Centrifuges Offer,Order Form — Fisher 2019 Eppendorf Centrifuge…,order_form,Orders Archive,Archive,Orders & Procurement,Billing & Accounts,Order Form,orders.archive,eligible_text,True,unique,not_duplicate,0.8,auto_medium_confidence,92,excellent,True,False,False
