asset_id,original_filename,logical_path,domain,section,is_project_file,project_id,project_category_original,display_title,short_title,document_role,current_category,current_subcategory,cleaned_domain,cleaned_category,cleaned_subcategory,page_id,extraction_status,indexed_in_search,duplicate_status,duplicate_type,confidence_score,review_status,metadata_score,metadata_grade,rename_needed,unknown_type,needs_redigitalization
asset_5d19b476f51a89ec,Contour-Cut-Printed-Fragile-Decal-Sign.png,"ORDERS & RELATED INFORMATION/Billing and ordering instructions/Shipments_FedEx_UPS_Färkkilä_lab/Shipment to US, advices, examples of proforma/Contour-Cut-Printed-Fragile-Decal-Sign.png",orders_procurement,orders_billing,False,,,Figure — Contour Cut Printed Fragile Decal Sign,Figure — Contour Cut Printed Fragile Decal Sign,figure,Orders Billing,Billing and ordering instructions,Wet Lab Knowledge,Imaging & QC,Figure,orders.billing,metadata_only,False,unique,not_duplicate,0.81,auto_medium_confidence,92,excellent,True,False,False
asset_fdbd89bd74c80fbb,image007.png,ORDERS & RELATED INFORMATION/Billing and ordering instructions/Shipments_FedEx_UPS_Färkkilä_lab/UPS/image007.png,orders_procurement,orders_billing,False,,,Figure — Image007,Figure — Image007,figure,Orders Billing,Billing and ordering instructions,Wet Lab Knowledge,Imaging & QC,Figure,orders.billing,metadata_only,False,unique,not_duplicate,0.81,auto_medium_confidence,92,excellent,True,False,False
asset_6853bddb4d080b80,image008.png,ORDERS & RELATED INFORMATION/Billing and ordering instructions/Shipments_FedEx_UPS_Färkkilä_lab/UPS/image008.png,orders_procurement,orders_billing,False,,,Figure — Image008,Figure — Image008,figure,Orders Billing,Billing and ordering instructions,Wet Lab Knowledge,Imaging & QC,Figure,orders.billing,metadata_only,False,unique,not_duplicate,0.81,auto_medium_confidence,92,excellent,True,False,False
asset_cdfcb99f7c9b3d98,image009.png,ORDERS & RELATED INFORMATION/Billing and ordering instructions/Shipments_FedEx_UPS_Färkkilä_lab/UPS/image009.png,orders_procurement,orders_billing,False,,,Figure — Image009,Figure — Image009,figure,Orders Billing,Billing and ordering instructions,Wet Lab Knowledge,Imaging & QC,Figure,orders.billing,metadata_only,False,unique,not_duplicate,0.81,auto_medium_confidence,92,excellent,True,False,False
asset_5f13ca510ffe03e7,barcode_Färkkilä_REVCO.jpg,"Overview/Documents - permits, forms, datasheets, handbooks etc./Equipment_Barcodes_photos/barcode_Färkkilä_REVCO.jpg",administration,overview_documents,False,,,Barcode Färkkilä REVCO,Barcode Färkkilä REVCO,figure,Overview Documents,"Documents - permits, forms, datasheets, handbooks etc.",Wet Lab Knowledge,Imaging & QC,Figure,overview.documents,metadata_only,False,unique,not_duplicate,0.8,auto_medium_confidence,92,excellent,False,False,False
asset_2d10bba342ac70a3,barcode_Färkkilä_TOP_CO2_cell culture_incubator.jpg,"Overview/Documents - permits, forms, datasheets, handbooks etc./Equipment_Barcodes_photos/barcode_Färkkilä_TOP_CO2_cell culture_incubator.jpg",administration,overview_documents,False,,,Barcode Färkkilä TOP CO2 Cell Culture Incubator,Barcode Färkkilä TOP CO2 Cell Culture Incub…,figure,Overview Documents,"Documents - permits, forms, datasheets, handbooks etc.",Wet Lab Knowledge,Imaging & QC,Figure,overview.documents,metadata_only,False,unique,not_duplicate,0.8,auto_medium_confidence,92,excellent,False,False,False
asset_c02297234438322f,barcode_VähärautioBOTTOM_CO2_cell culture_incubator.jpg,"Overview/Documents - permits, forms, datasheets, handbooks etc./Equipment_Barcodes_photos/barcode_VähärautioBOTTOM_CO2_cell culture_incubator.jpg",administration,overview_documents,False,,,Barcode Vähärautio BOTTOM CO2 Cell Culture Incubator,Barcode Vähärautio BOTTOM CO2 Cell Culture …,figure,Overview Documents,"Documents - permits, forms, datasheets, handbooks etc.",Wet Lab Knowledge,Imaging & QC,Figure,overview.documents,metadata_only,False,unique,not_duplicate,0.8,auto_medium_confidence,92,excellent,False,False,False
asset_c56cf384ad0e3c68,barcode_Vähärautio_REVCO.jpg,"Overview/Documents - permits, forms, datasheets, handbooks etc./Equipment_Barcodes_photos/barcode_Vähärautio_REVCO.jpg",administration,overview_documents,False,,,Barcode Vähärautio REVCO,Barcode Vähärautio REVCO,figure,Overview Documents,"Documents - permits, forms, datasheets, handbooks etc.",Wet Lab Knowledge,Imaging & QC,Figure,overview.documents,metadata_only,False,unique,not_duplicate,0.8,auto_medium_confidence,92,excellent,False,False,False
asset_4ac8b6430ad76990,ROOM_NUMBERS_Oncosys.jpg,"Overview/Documents - permits, forms, datasheets, handbooks etc./ROOM_NUMBERS_Oncosys.jpg",administration,overview_documents,False,,,ROOM Numbers Oncosys,ROOM Numbers Oncosys,figure,Overview Documents,"Documents - permits, forms, datasheets, handbooks etc.",Wet Lab Knowledge,Imaging & QC,Figure,overview.documents,metadata_only,False,unique,not_duplicate,0.8,auto_medium_confidence,92,excellent,False,False,False
asset_2964175404f94442,IMAGE 2026-02-18 13_12_17.jpg,SOCIAL & MISCELLANEOUS/Lab Winter Day 18.2.2026/Photos/IMAGE 2026-02-18 13_12_17.jpg,social_memory,social_misc,False,,,IMAGE 2026 02 18 13 12 17,IMAGE 2026 02 18 13 12 17,figure,Social Misc,Lab Winter Day 18.2.2026,Wet Lab Knowledge,Imaging & QC,Figure,overview.social,metadata_only,False,unique,not_duplicate,0.81,auto_medium_confidence,88,excellent,False,False,False
