priority,source_file_path,file_type,reason,recommended_action,safe_to_auto_process,needs_human_review
high,/Users/debashishdeb/Downloads/OMEIA-AI/database/ORDERS & RELATED INFORMATION/.DS_Store,[no_ext],not_started,extract_text,True,False
high,/Users/debashishdeb/Downloads/OMEIA-AI/database/ORDERS & RELATED INFORMATION/Archive/Anni_Virtanen_HUS_LAB_account_2019_purchases.xlsx,.xlsx,not_started,extract_text,True,False
high,/Users/debashishdeb/Downloads/OMEIA-AI/database/ORDERS & RELATED INFORMATION/Archive/Catalog export from quartzy.xlsx,.xlsx,not_started,extract_text,True,False
high,/Users/debashishdeb/Downloads/OMEIA-AI/database/ORDERS & RELATED INFORMATION/Archive/FICAN_SOUTH_Färkkilä_lab.xlsx,.xlsx,not_started,extract_text,True,False
high,/Users/debashishdeb/Downloads/OMEIA-AI/database/ORDERS & RELATED INFORMATION/Archive/FiCAN_South_money_from_2019_AF_lab_debt_to_AV_lab.xlsx,.xlsx,not_started,extract_text,True,False
high,/Users/debashishdeb/Downloads/OMEIA-AI/database/ORDERS & RELATED INFORMATION/Archive/Lab_coats_Färkkilä_lab/Työvaatekoonti LAB COATS Lindström Sept2019.xlsx,.xlsx,not_started,extract_text,True,False
high,/Users/debashishdeb/Downloads/OMEIA-AI/database/ORDERS & RELATED INFORMATION/Archive/ORDERS_Excels_Year_by_Year/ORDERS 2019 Färkkilä lab.xlsx,.xlsx,not_started,extract_text,True,False
high,/Users/debashishdeb/Downloads/OMEIA-AI/database/ORDERS & RELATED INFORMATION/Archive/ORDERS_Excels_Year_by_Year/ORDERS 2020 Färkkilä lab.xlsx,.xlsx,not_started,extract_text,True,False
high,/Users/debashishdeb/Downloads/OMEIA-AI/database/ORDERS & RELATED INFORMATION/Archive/ORDERS_Excels_Year_by_Year/ORDERS 2021 Färkkilä lab.xlsx,.xlsx,not_started,extract_text,True,False
high,/Users/debashishdeb/Downloads/OMEIA-AI/database/ORDERS & RELATED INFORMATION/Archive/ORDERS_Excels_Year_by_Year/ORDERS 2022 Färkkilä lab.xlsx,.xlsx,not_started,extract_text,True,False
high,/Users/debashishdeb/Downloads/OMEIA-AI/database/ORDERS & RELATED INFORMATION/Archive/ORDERS_Excels_Year_by_Year/ORDERS 2023 Färkkilä lab.xlsx,.xlsx,not_started,extract_text,True,False
high,/Users/debashishdeb/Downloads/OMEIA-AI/database/ORDERS & RELATED INFORMATION/Archive/ORDERS_Excels_Year_by_Year/ORDERS 2024 Färkkilä lab.xlsx,.xlsx,not_started,extract_text,True,False
high,/Users/debashishdeb/Downloads/OMEIA-AI/database/ORDERS & RELATED INFORMATION/Archive/Orders_for_Kauppi_lab_TERVA_collaboration.xlsx,.xlsx,not_started,extract_text,True,False
high,/Users/debashishdeb/Downloads/OMEIA-AI/database/ORDERS & RELATED INFORMATION/Archive/Varastokirjanpito.xlsx,.xlsx,not_started,extract_text,True,False
high,/Users/debashishdeb/Downloads/OMEIA-AI/database/ORDERS & RELATED INFORMATION/Billing and ordering instructions/.DS_Store,[no_ext],not_started,extract_text,True,False
high,/Users/debashishdeb/Downloads/OMEIA-AI/database/ORDERS & RELATED INFORMATION/Billing and ordering instructions/HUS_money/HUSLAB_order_form.xls,.xls,not_started,extract_text,True,False
high,"/Users/debashishdeb/Downloads/OMEIA-AI/database/ORDERS & RELATED INFORMATION/Billing and ordering instructions/Shipments_FedEx_UPS_Färkkilä_lab/Shipment of DNA samples to Copenhagen, same as for Myriad test, 8.3.2021NC/FF DNAs sent to Denmark same as Myriad March 2021.xlsx",.xlsx,not_started,extract_text,True,False
high,"/Users/debashishdeb/Downloads/OMEIA-AI/database/Overview/Documents - permits, forms, datasheets, handbooks etc./Ethanol_permission_Valvira_2019/Varastokirjanpito(1).xlsx",.xlsx,not_started,extract_text,True,False
high,"/Users/debashishdeb/Downloads/OMEIA-AI/database/Overview/Documents - permits, forms, datasheets, handbooks etc./Ethanol_permission_Valvira_2019/Varastokirjanpito.xlsx",.xlsx,not_started,extract_text,True,False
high,/Users/debashishdeb/Downloads/OMEIA-AI/database/Overview/LAB CLEANING/Cleaning day 20250528/General tasks for data cleaning day 28052025.xlsx,.xlsx,not_started,extract_text,True,False
