current_path,proposed_path,action,reason,sha256,size_bytes,risk_level,duplicate_group_id
app_skeleton/data/raw_asset_inventory.json,app_skeleton/data/01_source_inventory/raw_asset_inventory.json,move,Canonical source inventory (requires --allow-data-moves + API path update) — canonical copy preserved,cc495851f028449db7ef516b0842934068aced789b56503cebfa10734b527b26,49333185,high,cc495851f028449d
app_skeleton/data/processed_projects/Ovca_VTE.chunks.jsonl,app_skeleton/data/02_processed_projects/research_projects/Ovca_VTE/Ovca_VTE.chunks.jsonl,quarantine,Empty or tiny placeholder file,,0,medium,
app_skeleton/data/processed_projects/Proteomics.chunks.jsonl,app_skeleton/data/99_quarantine_review/unknown_category/Proteomics.chunks.jsonl,quarantine,Exact SHA-256 duplicate of app_skeleton/data/processed_projects/SaloCollab.chunks.jsonl,9cd610b71ea34d0ff968d56e22cbd57d20a85408cd59f166268d8a780a749620,26822,medium,9cd610b71ea34d0f
app_skeleton/data/processed_projects/Organoids.chunks.jsonl,app_skeleton/data/02_processed_projects/research_projects/Organoids/Organoids.chunks.jsonl,quarantine,Empty or tiny placeholder file,,0,medium,
app_skeleton/data/processed_projects/LeppaCollab.chunks.jsonl,app_skeleton/data/02_processed_projects/research_projects/LeppaCollab/LeppaCollab.chunks.jsonl,quarantine,Empty or tiny placeholder file,,0,medium,
app_skeleton/data/processed_projects/VanharantaCollab.chunks.jsonl,app_skeleton/data/02_processed_projects/research_projects/VanharantaCollab/VanharantaCollab.chunks.jsonl,quarantine,Empty or tiny placeholder file,,0,medium,
app_skeleton/data/processed_projects/Mesenchymal_Ovca.chunks.jsonl,app_skeleton/data/02_processed_projects/research_projects/Mesenchymal_Ovca/Mesenchymal_Ovca.chunks.jsonl,quarantine,Empty or tiny placeholder file,,0,medium,
app_skeleton/data/processed_projects/SideProjects.chunks.jsonl,app_skeleton/data/02_processed_projects/research_projects/SideProjects/SideProjects.chunks.jsonl,quarantine,Empty or tiny placeholder file,,0,medium,
app_skeleton/data/processed_projects/Endometrial_HRD.chunks.jsonl,app_skeleton/data/02_processed_projects/research_projects/Endometrial_HRD/Endometrial_HRD.chunks.jsonl,quarantine,Empty or tiny placeholder file,,0,medium,
app_skeleton/data/processed_projects/SaloCollab.chunks.jsonl,app_skeleton/data/02_processed_projects/research_projects/SaloCollab/SaloCollab.chunks.jsonl,move,Processed twin (SaloCollab) — canonical copy preserved,9cd610b71ea34d0ff968d56e22cbd57d20a85408cd59f166268d8a780a749620,26822,high,9cd610b71ea34d0f
app_skeleton/data/processed_projects/sciSet.chunks.jsonl,app_skeleton/data/02_processed_projects/research_projects/sciSet/sciSet.chunks.jsonl,quarantine,Empty or tiny placeholder file,,0,medium,
reports/document_library_audit/metadata_v2/low_confidence_metadata_queue.csv,reports/99_quarantine_review/obsolete_reports/low_confidence_metadata_queue.csv,quarantine,Exact SHA-256 duplicate of reports/document_library_audit/metadata_v2/unknown_type_review_queue.csv,52bd0fde328f5cbbbc211f5320ab8bd7714d61ce1ea353da0c6af32faac38776,45207,medium,52bd0fde328f5cbb
reports/document_library_audit/metadata_v2/unknown_type_review_queue.csv,reports/01_current_machine_readable/unknown_type_review_queue.csv,move,Current metadata_v2 audit artifact — canonical copy preserved,52bd0fde328f5cbbbc211f5320ab8bd7714d61ce1ea353da0c6af32faac38776,45207,low,52bd0fde328f5cbb
reports/document_library_audit/first_pass/document_inventory.csv,reports/99_quarantine_review/obsolete_reports/document_inventory.csv,quarantine,Superseded by metadata_v2 enriched inventory,b48fc7eec8178a5081bcab4d0eb98f9aacd3c2138cccc16a467a087c84c845c1,2907041,low,
reports/document_library_audit/first_pass/document_inventory.json,reports/99_quarantine_review/obsolete_reports/document_inventory.json,quarantine,Superseded by metadata_v2 enriched inventory,cc495851f028449db7ef516b0842934068aced789b56503cebfa10734b527b26,49333185,medium,cc495851f028449d
