roi_code,community_id,sample_code,project_code,entity_type,tumor_cell_density,immune_infiltration_score,cd8_tcell_density,tls_proximity_score,stroma_caf_fraction,hrd_signature_score
ROI_001_01,COMM_TUMOR_CORE,SYNTH_SAMPLE_001,SPACE,roi,920.5,0.34,138.2,0.74,0.17,0.81
ROI_001_02,COMM_STROMA,SYNTH_SAMPLE_001,SPACE,community,410.2,0.28,98.4,0.68,0.35,0.81
ROI_001_03,COMM_TLS,SYNTH_SAMPLE_001,SPACE,community,180.0,0.62,245.0,0.95,0.08,0.81
ROI_002_01,COMM_TUMOR_CORE,SYNTH_SAMPLE_002,SPACE,roi,1280.0,0.20,92.1,0.42,0.22,0.62
ROI_002_02,COMM_STROMA,SYNTH_SAMPLE_002,SPACE,community,520.8,0.15,71.3,0.38,0.41,0.62
ROI_003_01,COMM_TUMOR_CORE,SYNTH_SAMPLE_003,SPACE,roi,710.4,0.51,218.6,0.90,0.11,0.91
ROI_003_02,COMM_TLS,SYNTH_SAMPLE_003,SPACE,community,220.1,0.58,267.0,0.98,0.07,0.91
ROI_005_01,COMM_TUMOR_CORE,SYNTH_SAMPLE_005,EyeMT,roi,1150.0,0.36,162.4,0.63,0.20,0.74
ROI_005_02,COMM_STROMA,SYNTH_SAMPLE_005,EyeMT,community,480.5,0.22,88.0,0.55,0.38,0.74
ROI_008_01,COMM_TUMOR_CORE,SYNTH_SAMPLE_008,KRAS,roi,905.2,0.43,171.8,0.71,0.16,0.77
ROI_008_02,COMM_TLS,SYNTH_SAMPLE_008,KRAS,community,195.3,0.55,228.5,0.89,0.09,0.77
